user_id,item_id,rating,efectos,comedia,genero,film,personajes,protagonista,mundo,escenas,espectador,epoca
Kiko de España,Grizzly man,5,,,,,,,-1.0,,,
Kiko de España,Las colinas tienen ojos,5,,,-1.0,,,,,,,
Vsancha,Corrupción en Miami,2,,,,,,,,,-1.0,
Jeremy Fox,Alatriste,2,-1.0,,,,,,,,,
Kiko de España,Los bingueros,4,1.0,1.0,,,,,,,,
Enrique Colmena,Clerks 2,2,1.0,,,,,,,,0.0,
Kiko de España,Supersonic man,2,-1.0,,,,,,,,,
Natalia Eseverri,Clerks 2,3,1.0,,,,,,,,0.0,
Kiko de España,Misión imposible 3,4,,,-1.0,1.0,,,,,,
Kiko de España,Calvaire,4,,,-1.0,,,,,,-1.0,
Marta,La joven del agua,2,,,,,,,1.0,,,
Calaf,Alatriste,3,-1.0,,,,,,,,,
Darthz,United 93,3,,,,-1.0,,,,,,
Jose Contreras,Separados,2,,,,-1.0,,,-1.0,,,
José Córdoba,Clerks 2,3,1.0,,,,,,,,0.0,
Alberto Concepción,Salvador,3,-1.0,,,-1.0,,,,,-1.0,
Javier Moreno,Salvador,4,-1.0,,,-1.0,,,,,-1.0,
Red Stovall,Skizo,1,,,,,,,,,,-1.0
"Merce,""Tan lejos, tan cerca"",4,,,,,,,-1.0,,,"
Tito Chinchan,Super Nacho,2,,,,,,,,,,-1.0
JohnTrent,Alatriste,2,-1.0,,,,,,,,,
Lara Croft,Transamerica,2,,,-1.0,,,,,,0.0,
Alberto Concepción,La joven del agua,3,,,,,,,1.0,,,
Juan David,Grizzly man,5,,,,,,,-1.0,,,
Tito Chinchan,Kebab connection,3,0.0,,,,,,,,,
Tito Chinchan,Stick it,3,,,-1.0,,,,,,,
Natalia Eseverri,Separados,3,,,,-1.0,,,-1.0,,,
Jeremy Fox,La noche de los girasoles,4,,,,,,,,-1.0,,
Tito Chinchan,Pequeño pero matón,2,-1.0,,,,,-1.0,-1.0,,,
Jesus Lens,Salvador,3,-1.0,,,-1.0,,,,,-1.0,
Nico,Clerks 2,4,1.0,,,,,,,,0.0,
Illaq,La noche de los girasoles,3,,,,,,,,-1.0,,
Jeremy Fox,Monster house,4,1.0,,,,,,,-1.0,,
Alberto Concepción,King Kong,3,1.0,,,,,,,,-1.0,
Alberto Concepción,Match point,5,0.0,,,,,,,,0.0,
Alberto Concepción,Jarhead,3,,,,,,,,,0.0,
Alberto Concepción,Hostel,1,,,,-1.0,,,-1.0,,,
Oscar Cantero,Pequeño pero matón,1,-1.0,,,,,-1.0,-1.0,,,
Oscar Cantero,La increíble historia de Caperucita Roja,3,1.0,,,,,,,,,
Kiko de España,La máquina de bailar,3,,,,,-1.0,,,,,
Kiko de España,Cache Escondido,4,,,,,,,,,-1.0,
Kiko de España,Virgen a los 40 años,4,,,,1.0,,,,,,
Kiko de España,El caso Slevin,3,,,,1.0,,,1.0,,1.0,
Jose Contreras,Salvador,3,-1.0,,,-1.0,,,,,-1.0,
Emilio Calvo de Mora,El perro mongol,4,,,,,,,-1.0,,,
Alvaro Oliva,Corrupción en Miami,3,,,,,,,,,-1.0,
Silvia Giner,Superman returns,5,-1.0,,,,,,,,,
Silvia Giner,Ultravioleta,1,,,,,,,,,,-1.0
Bloody Will,Mi super ex novia,2,-1.0,-1.0,,,,,,,,
Bloody Will,La increíble historia de Caperucita Roja,4,1.0,,,,,,,,,
Emilio Calvo de Mora,Una llama en mi corazón,1,,,,,,-1.0,,,,-1.0
Beatriz Perez,Mi super ex novia,3,-1.0,-1.0,,,,,,,,
Dragon negro,Mi super ex novia,3,-1.0,-1.0,,,,,,,,
Raccord,La máquina de bailar,3,,,,,-1.0,,,,,
Jose Contreras,Mi super ex novia,3,-1.0,-1.0,,,,,,,,
Kiko de España,Gracias por fumar,5,,1.0,,,,,,,,
Red Stovall,Gracias por fumar,3,,1.0,,,,,,,,
JohnTrent,La máquina de bailar,2,,,,,-1.0,,,,,
Jose Contreras,La increíble historia de Caperucita Roja,3,1.0,,,,,,,,,
Silvia Giner,Xmen3,2,-1.0,,,,,,-1.0,,-1.0,
Silvia Giner,Misión imposible 3,3,,,-1.0,1.0,,,,,,
Torbe,Alatriste,1,-1.0,,,,,,,,,
Torbe,La máquina de bailar,3,,,,,-1.0,,,,,
Plissken,El viento que agita la cebada,4,,,,,,,,,-1.0,
Juan David,Waiting,1,-1.0,,,-1.0,,,,-1.0,,
Robgordon,Monster house,4,1.0,,,,,,,-1.0,,
Tito Chinchan,Ant bully,3,-1.0,,,,,,-1.0,,,
Dragon negro,Shinobi,2,-1.0,,,,,,,,,
Alberto Concepción,Gracias por fumar,3,,1.0,,,,,,,,
Rafa Ferrer,Mi super ex novia,3,-1.0,-1.0,,,,,,,,
Beatriz Perez,Shinobi,1,-1.0,,,,,,,,,
Jose Contreras,Gracias por fumar,2,,1.0,,,,,,,,
Ibán Manzano,World Trade Center,2,,,,-1.0,,,,,,
Matías Cobo,La noche de los girasoles,4,,,,,,,,-1.0,,
Matías Cobo,Alatriste,2,-1.0,,,,,,,,,
Matías Cobo,Monster house,4,1.0,,,,,,,-1.0,,
Matías Cobo,Corrupción en Miami,3,,,,,,,,,-1.0,
Matías Cobo,La joven del agua,4,,,,,,,1.0,,,
Emilio Calvo de Mora,La increíble historia de Caperucita Roja,3,1.0,,,,,,,,,
Yul B.,Click,3,,-1.0,,,,,,,,
Vsancha,Clerks 2,4,1.0,,,,,,,,0.0,
Alvaro Oliva,La máquina de bailar,1,,,,,-1.0,,,,,
Juan Nadie,World Trade Center,4,,,,-1.0,,,,,,
Enrique Colmena,Salvador,4,-1.0,,,-1.0,,,,,-1.0,
Beatriz Perez,Click,1,,-1.0,,,,,,,,
Beatriz Perez,World Trade Center,1,,,,-1.0,,,,,,
Daniel Galindo,La increíble historia de Caperucita Roja,3,1.0,,,,,,,,,
Daniel Galindo,Vete de mi,4,,,,-1.0,,,,,,-1.0
Tito Chinchan,La máquina de bailar,2,,,,,-1.0,,,,,
Jose Contreras,Click,3,,-1.0,,,,,,,,
Verolindapechocha,El diablo viste de Prada,3,,,-1.0,,,,,,-1.0,
Jesus Lens,El viento que agita la cebada,3,,,,,,,,,-1.0,
Emilio Calvo de Mora,Palindromos,4,,,,,,,,,-1.0,-1.0
Daniel Galindo,Palindromos,3,,,,,,,,,-1.0,-1.0
Kiko de España,Palindromos,3,,,,,,,,,-1.0,-1.0
Oscar Cantero,World Trade Center,1,,,,-1.0,,,,,,
Plissken,Gracias por fumar,5,,1.0,,,,,,,,
Plissken,Sheitan,3,,,,,,,,1.0,,
Jeremy Fox,Corrupción en Miami,4,,,,,,,,,-1.0,
Robgordon,Salvador,3,-1.0,,,-1.0,,,,,-1.0,
Taliesin,Vete de mi,4,,,,-1.0,,,,,,-1.0
Ana,Nueve vidas,3,,,,1.0,,,,,1.0,
Silvia,Separados,3,,,,-1.0,,,-1.0,,,
Ibán Manzano,Xmen3,3,-1.0,,,,,,-1.0,,-1.0,
Berto,Mi super ex novia,2,-1.0,-1.0,,,,,,,,
Berto,La increíble historia de Caperucita Roja,3,1.0,,,,,,,,,
Oscar Cantero,Serpientes en el avión,1,,,,-1.0,,,-1.0,,,
Emilio Calvo de Mora,Serpientes en el avión,1,,,,-1.0,,,-1.0,,,
Emilio Calvo de Mora,Click,3,,-1.0,,,,,,,,
Emilio Calvo de Mora,World Trade Center,2,,,,-1.0,,,,,,
Emilio Calvo de Mora,Nueve vidas,4,,,,1.0,,,,,1.0,
Plissken,Los Borgia,2,,,,,,-1.0,,,-1.0,
Jose Contreras,El diablo viste de Prada,2,,,-1.0,,,,,,-1.0,
Matías Cobo,El diablo viste de Prada,2,,,-1.0,,,,,,-1.0,
Matías Cobo,La increíble historia de Caperucita Roja,3,1.0,,,,,,,,,
Silvia Giner,Los Borgia,3,,,,,,-1.0,,,-1.0,
Natalia Eseverri,Click,3,,-1.0,,,,,,,,
Matías Cobo,Los Borgia,2,,,,,,-1.0,,,-1.0,
José Córdoba,Los Borgia,2,,,,,,-1.0,,,-1.0,
José Córdoba,Camaron,2,-1.0,,,,,,,,,
Emilio Calvo de Mora,El diablo viste de Prada,3,,,-1.0,,,,,,-1.0,
Rafa Ferrer,El diablo viste de Prada,3,,,-1.0,,,,,,-1.0,
Tito Chinchan,Fuera de control,3,-1.0,,,,,,,,,
Ana,A scanner darkly,5,-1.0,,,,,,,,-1.0,
Kiko de España,La prueba del crimen,4,,,,1.0,,,,,-1.0,
Jose Contreras,Serpientes en el avión,2,,,,-1.0,,,-1.0,,,
Tito Chinchan,Shinobi,2,-1.0,,,,,,,,,
Txapulin,A scanner darkly,2,-1.0,,,,,,,,-1.0,
Txapulin,El laberinto del fauno,5,,,,,,,-1.0,,,
Ivan Sainz-Pardo,Storm,1,-1.0,,,,,,,,,
Enrique Colmena,Los Borgia,4,,,,,,-1.0,,,-1.0,
Txapulin,Click,2,,-1.0,,,,,,,,
Jose Contreras,Azuloscurocasinegro,5,,,,1.0,,,,,,
Matías Cobo,El laberinto del fauno,5,,,,,,,-1.0,,,
Txapulin,Scoop,5,1.0,,,,,,,,,
Oscar Cantero,Los bingueros,2,1.0,1.0,,,,,,,,
Marta,El laberinto del fauno,5,,,,,,,-1.0,,,
Jose Contreras,El laberinto del fauno,4,,,,,,,-1.0,,,
Bloody Will,El diablo viste de Prada,5,,,-1.0,,,,,,-1.0,
Bloody Will,Serpientes en el avión,2,,,,-1.0,,,-1.0,,,
Plissken,A scanner darkly,3,-1.0,,,,,,,,-1.0,
Taliesin,El laberinto del fauno,4,,,,,,,-1.0,,,
Oscar Cantero,Crank,3,,,,,,,-1.0,,,
José Córdoba,El laberinto del fauno,5,,,,,,,-1.0,,,
Javier Saz,El laberinto del fauno,3,,,,,,,-1.0,,,
Illaq,Los Borgia,3,,,,,,-1.0,,,-1.0,
Jesus Lens,El laberinto del fauno,5,,,,,,,-1.0,,,
Ricardo Marquina,Paura Nella Città dei Morti Viventi,3,,,-1.0,,,,-1.0,,,
Ricardo Marquina,Zombie nosh,1,-1.0,,,,,,,,,
Ricardo Marquina,The dead pit,3,,,-1.0,,,,,,,
Ivan R. Gonzalez,Frankenhooper (Frankenputa),4,-1.0,,,,,,-1.0,,,
Ivan R. Gonzalez,Jesucristo cazavampiros,3,,,-1.0,,,,-1.0,,,
Ivan Sainz-Pardo,The host,2,,,-1.0,,,,,,,
Javier Saz,El señor de la guerra,3,,-1.0,,,,,,,-1.0,
Javier Saz,Saraband,5,-1.0,,,,,,,,-1.0,
Javier Saz,Camino a Guantánamo,4,,,,-1.0,,,,,,
Alvaro Oliva,World Trade Center,2,,,,-1.0,,,,,,
Emilio Calvo de Mora,Los Borgia,3,,,,,,-1.0,,,-1.0,
Emilio Calvo de Mora,Pret a porter,2,,,-1.0,,,,,,,
Tito Chinchan,Zombies party,4,,0.0,,,,,,,,
Calaf,El laberinto del fauno,4,,,,,,,-1.0,,,
Yul B.,El laberinto del fauno,2,,,,,,,-1.0,,,
Ricard Marcet,Palindromos,4,,,,,,,,,-1.0,-1.0
Ricard Marcet,Grizzly man,5,,,,,,,-1.0,,,
Silvia Giner,El laberinto del fauno,4,,,,,,,-1.0,,,
Iñigo,La fuente de la vida,3,,,,-1.0,,,,-1.0,-1.0,
Jesus Lens,El diablo viste de Prada,3,,,-1.0,,,,,,-1.0,
Elena Suárez,El laberinto del fauno,4,,,,,,,-1.0,,,
Jeremy Fox,La increíble historia de Caperucita Roja,3,1.0,,,,,,,,,
Ibán Manzano,Hijos de los hombres,4,,,-1.0,,,,,,-1.0,
Txapulin,Hijos de los hombres,3,,,-1.0,,,,,,-1.0,
Kiko de España,Infiltrados,5,,,,,,,,-1.0,,
José A. Peig,El laberinto del fauno,2,,,,,,,-1.0,,,
José A. Peig,Hijos de los hombres,3,,,-1.0,,,,,,-1.0,
Kiko de España,A scanner darkly,3,-1.0,,,,,,,,-1.0,
Berto,Corrupción en Miami,3,,,,,,,,,-1.0,
Ana,Infiltrados,4,,,,,,,,-1.0,,
Caruco,El laberinto del fauno,5,,,,,,,-1.0,,,
José Córdoba,Pequeña miss sunshine,4,,,1.0,,,,,,,
Tito Chinchan,El laberinto del fauno,3,,,,,,,-1.0,,,
JohnTrent,Serpientes en el avión,3,,,,-1.0,,,-1.0,,,
Jeremy Fox,Vete de mi,2,,,,-1.0,,,,,,-1.0
Caruco,Hijos de los hombres,3,,,-1.0,,,,,,-1.0,
Rafa Ferrer,Alatriste,1,-1.0,,,,,,,,,
"Rafa Ferrer,""Tu, yo y ahora...Dupree"",2,,,,-1.0,,,,,,"
Rafa Ferrer,Gracias por fumar,3,,1.0,,,,,,,,
Mario,El laberinto del fauno,4,,,,,,,-1.0,,,
Emilio Calvo de Mora,Las partículas elementales,3,,,,,,,-1.0,,-1.0,
Yul B.,Hijos de los hombres,4,,,-1.0,,,,,,-1.0,
Bloody Will,La dalia negra,1,,,,,,,,,-1.0,
Oscar Cantero,Wicker man,2,,,-1.0,,,-1.0,-1.0,,-1.0,
Oscar Cantero,Tiempo de Valientes,4,1.0,,,,,,,,-1.0,
Rafa Ferrer,Scoop,4,1.0,,,,,,,,,
Tito Chinchan,Crank,3,,,,,,,-1.0,,,
Alberto Concepción,El viento que agita la cebada,3,,,,,,,,,-1.0,
Alberto Concepción,Hijos de los hombres,4,,,-1.0,,,,,,-1.0,
Alberto Concepción,Los tres entierros de Melquiades Estrada,3,,,,-1.0,,,,1.0,,-1.0
Plissken,Alatriste,2,-1.0,,,,,,,,,
Matías Cobo,United 93,4,,,,-1.0,,,,,,
Plissken,Infiltrados,4,,,,,,,,-1.0,,
Plissken,La prueba del crimen,3,,,,1.0,,,,,-1.0,
Jose Luis,El laberinto del fauno,4,,,,,,,-1.0,,,
Mario,Hijos de los hombres,2,,,-1.0,,,,,,-1.0,
Jose Contreras,La dalia negra,2,,,,,,,,,-1.0,
Berto,Click,3,,-1.0,,,,,,,,
Rafa Ferrer,La máquina de bailar,1,,,,,-1.0,,,,,
Alvaro Oliva,Wicker man,1,,,-1.0,,,-1.0,-1.0,,-1.0,
Alvaro Oliva,La dalia negra,2,,,,,,,,,-1.0,
Emilio Calvo de Mora,The guardian,3,,,,,0.0,,,,,
Plissken,Monday,3,,,,1.0,,,,1.0,1.0,
Rafa Ferrer,El laberinto del fauno,5,,,,,,,-1.0,,,
Cp,La dalia negra,2,,,,,,,,,-1.0,
Rafa Ferrer,Hijos de los hombres,4,,,-1.0,,,,,,-1.0,
Ibán Manzano,La dalia negra,2,,,,,,,,,-1.0,
Emilio Calvo de Mora,La dalia negra,1,,,,,,,,,-1.0,
Caruco,La dalia negra,2,,,,,,,,,-1.0,
Rafa Ferrer,Corrupción en Miami,3,,,,,,,,,-1.0,
Emilio Calvo de Mora,El laberinto del fauno,5,,,,,,,-1.0,,,
Jeremy Fox,Crank,1,,,,,,,-1.0,,,
Plissken,Hijos de los hombres,5,,,-1.0,,,,,,-1.0,
Rafa Ferrer,La dalia negra,2,,,,,,,,,-1.0,
Jose Contreras,Hijos de los hombres,3,,,-1.0,,,,,,-1.0,
Jose Contreras,Scoop,3,1.0,,,,,,,,,
Bloody Will,Infiltrados,5,,,,,,,,-1.0,,
Alberto Concepción,Scoop,3,1.0,,,,,,,,,
Jesus Lens,Infiltrados,4,,,,,,,,-1.0,,
José A. Peig,Infiltrados,4,,,,,,,,-1.0,,
Elena Suárez,Ellos,4,,,,,,,,,,-1.0
Marta,Pequeña miss sunshine,4,,,1.0,,,,,,,
Matías Cobo,Infiltrados,4,,,,,,,,-1.0,,
Rafa Ferrer,Infiltrados,5,,,,,,,,-1.0,,
Silvia Giner,Hijos de los hombres,3,,,-1.0,,,,,,-1.0,
Silvia,Scoop,3,1.0,,,,,,,,,
Caruco,Infiltrados,3,,,,,,,,-1.0,,
Enrique Colmena,Infiltrados,3,,,,,,,,-1.0,,
Jeremy Fox,El diablo viste de Prada,2,,,-1.0,,,,,,-1.0,
Ana,El diablo viste de Prada,3,,,-1.0,,,,,,-1.0,
Elena Suárez,Hijos de los hombres,2,,,-1.0,,,,,,-1.0,
Plissken,The Queen,4,-1.0,,,,,,,,-1.0,
Mario,A scanner darkly,3,-1.0,,,,,,,,-1.0,
Queralt Antu,World Trade Center,3,,,,-1.0,,,,,,
Caruco,Donnie Brasco,4,,,,,,,,-1.0,0.0,
Radon,El corral,3,-1.0,,,,-1.0,,,,,
Tito Chinchan,Cabeza de perro,2,-1.0,-1.0,,-1.0,,,,,,
Alberto Concepción,Infiltrados,4,,,,,,,,-1.0,,
Elena Suárez,Infiltrados,4,,,,,,,,-1.0,,
Jesus Lens,Hijos de los hombres,2,,,-1.0,,,,,,-1.0,
Emilio Calvo de Mora,Maleficio,2,-1.0,,,,,,,,-1.0,
Marta,El diablo viste de Prada,2,,,-1.0,,,,,,-1.0,
Caruco,Las partículas elementales,2,,,,,,,-1.0,,-1.0,
Caruco,Gracias por fumar,3,,1.0,,,,,,,,
Emilio Calvo de Mora,Infiltrados,4,,,,,,,,-1.0,,
Tito Chinchan,Yo soy la juani,3,,,,,,-1.0,,,,
Radon,Ant bully,4,-1.0,,,,,,-1.0,,,
Vsancha,Pequeña miss sunshine,4,,,1.0,,,,,,,
Jeremy Fox,El laberinto del fauno,5,,,,,,,-1.0,,,
Hartigan,Yo soy la juani,3,,,,,,-1.0,,,,
Jeremy Fox,Infiltrados,5,,,,,,,,-1.0,,
Hombre Lobo,La matanza de Texas: el origen,1,,,-1.0,,,,,-1.0,-1.0,
José Córdoba,Infiltrados,5,,,,,,,,-1.0,,
José A. Peig,Un buen año,1,-1.0,,,,,,,,,
Beatriz Perez,Un buen año,3,-1.0,,,,,,,,,
Alvaro Oliva,Scoop,3,1.0,,,,,,,,,
Alvaro Oliva,Yo soy la juani,2,,,,,,-1.0,,,,
Elena Suárez,Scoop,1,1.0,,,,,,,,,
Calaf,Infiltrados,4,,,,,,,,-1.0,,
Emilio Calvo de Mora,Yo soy la juani,3,,,,,,-1.0,,,,
Alvaro Oliva,La prueba del crimen,3,,,,1.0,,,,,-1.0,
Bloody Will,La matanza de Texas: el origen,1,,,-1.0,,,,,-1.0,-1.0,
Silvia,La casa del lago,3,,,,,,,,,-1.0,
Jose Contreras,Infiltrados,3,,,,,,,,-1.0,,
Jose Contreras,Un buen año,2,-1.0,,,,,,,,,
Tito Chinchan,Clerks 2,3,1.0,,,,,,,,0.0,
Jeremy Fox,Pequeña miss sunshine,4,,,1.0,,,,,,,
Ricardo Marquina,Aquella casa al lado del cementerio,3,,,,,,,-1.0,,0.0,
Jose Luis,Manderlay,4,,,,,,,-1.0,,,
Joseba,Near dark,3,,,0.0,,,,,,,0.0
Ana,Scoop,3,1.0,,,,,,,,,
José A. Peig,Scoop,2,1.0,,,,,,,,,
Marta,Hijos de los hombres,3,,,-1.0,,,,,,-1.0,
Elena Suárez,Los fantasmas de Goya,3,-1.0,,,,-1.0,,,,-1.0,
Alberto Concepción,Los fantasmas de Goya,3,-1.0,,,,-1.0,,,,-1.0,
Vsancha,La matanza de Texas: el origen,1,,,-1.0,,,,,-1.0,-1.0,
Jeremy Fox,Hijos de los hombres,5,,,-1.0,,,,,,-1.0,
Jose Luis,Volver,4,,,,,,,,,1.0,
Jose Contreras,Los fantasmas de Goya,3,-1.0,,,,-1.0,,,,-1.0,
Beatriz Perez,Los fantasmas de Goya,1,-1.0,,,,-1.0,,,,-1.0,
Alberto Concepción,Saw 3,3,,,-1.0,,,,,-1.0,-1.0,
Joseba,Las colinas tienen ojos,4,,,-1.0,,,,,,,
José A. Peig,Palindromos,3,,,,,,,,,-1.0,-1.0
Rafa Ferrer,Saw 3,3,,,-1.0,,,,,-1.0,-1.0,
Oscar Cantero,Saw 3,3,,,-1.0,,,,,-1.0,-1.0,
Oscar Cantero,Infiltrados,5,,,,,,,,-1.0,,
Mario,Gojira (Godzilla),5,,,,,,1.0,,,1.0,
Albert Puyuelo,The Queen,3,-1.0,,,,,,,,-1.0,
Francisco Bellón,Los fantasmas de Goya,2,-1.0,,,,-1.0,,,,-1.0,
Francisco Bellón,Scoop,5,1.0,,,,,,,,,
Francisco Bellón,Yo soy la juani,2,,,,,,-1.0,,,,
Jesus Lens,Ficción,4,,,,,,,,,-1.0,
Enrique Colmena,Ficción,4,,,,,,,,,-1.0,
Jeremy Fox,Un buen año,2,-1.0,,,,,,,,,
Daniel Galindo,El corral,3,-1.0,,,,-1.0,,,,,
Daniel Galindo,Gal,2,-1.0,,,,,,,,-1.0,
Daniel Galindo,La matanza de Texas: el origen,3,,,-1.0,,,,,-1.0,-1.0,
Daniel Galindo,Ficción,4,,,,,,,,,-1.0,
Daniel Galindo,Jackass 2,1,,,-1.0,,,,,,-1.0,
Daniel Galindo,Los fantasmas de Goya,3,-1.0,,,,-1.0,,,,-1.0,
Hartigan,Los fantasmas de Goya,3,-1.0,,,,-1.0,,,,-1.0,
Silvia Giner,Saw 3,3,,,-1.0,,,,,-1.0,-1.0,
Tito Chinchan,Storm,2,-1.0,,,,,,,,,
Yul B.,Los fantasmas de Goya,3,-1.0,,,,-1.0,,,,-1.0,
Yul B.,Gal,2,-1.0,,,,,,,,-1.0,
José A. Peig,Los fantasmas de Goya,1,-1.0,,,,-1.0,,,,-1.0,
Elena Suárez,Ficción,2,,,,,,,,,-1.0,
Jeremy Fox,Gojira (Godzilla),3,,,,,,1.0,,,1.0,
Lara Croft,El ilusionista,2,,,,,,,,,1.0,1.0
Alvaro Oliva,Gal,1,-1.0,,,,,,,,-1.0,
Emilio Calvo de Mora,Las uvas de la ira,5,,,,,,,-1.0,,-1.0,
Dragon negro,Saw 3,3,,,-1.0,,,,,-1.0,-1.0,
Sara Rodriguez,La fiera de mi niña,5,,,1.0,-1.0,,,,,-1.0,
Cándida,Volver,5,,,,,,,,,1.0,
Silvia Giner,El camino de los ingleses,2,-1.0,,,,,,,-1.0,-1.0,
Caruco,The Queen,2,-1.0,,,,,,,,-1.0,
Jose Contreras,Casino Royale,4,,,,1.0,,,,,,
Emilio Calvo de Mora,Storm,2,-1.0,,,,,,,,,
Otis B. Driftwood,Scoop,3,1.0,,,,,,,,,
Otis B. Driftwood,Casino Royale,4,,,,1.0,,,,,,
Bloody Will,El ilusionista,5,,,,,,,,,1.0,1.0
Dragon negro,La fuente de la vida,4,,,,-1.0,,,,-1.0,-1.0,
Jose Luis,El ilusionista,3,,,,,,,,,1.0,1.0
Oscar Cantero,El ilusionista,5,,,,,,,,,1.0,1.0
Sara Rodriguez,Casablanca,5,1.0,,,,-1.0,,,,-1.0,
Jeremy Fox,Scoop,4,1.0,,,,,,,,,
Elena Suárez,Dead or alive,1,-1.0,-1.0,,,,,,,,
"José A. Peig,""Alien, el octavo pasajero"",5,,,-1.0,,,,,,-1.0,"
JohnTrent,Saw 3,3,,,-1.0,,,,,-1.0,-1.0,
Marta,Scoop,4,1.0,,,,,,,,,
Kiko de España,Borat,4,,,,,-1.0,,,,,
Jose Contreras,Borat,1,,,,,-1.0,,,,,
Caruco,El ilusionista,2,,,,,,,,,1.0,1.0
Uruloki,El ilusionista,4,,,,,,,,,1.0,1.0
Dragon negro,Dead or alive,5,-1.0,-1.0,,,,,,,,
Natalia Eseverri,Va a ser que nadie es perfecto,3,,,,,,1.0,,,,
Radon,Colegas en el bosque,5,1.0,,,,,1.0,1.0,,,
José Córdoba,El ilusionista,2,,,,,,,,,1.0,1.0
José Córdoba,The Queen,3,-1.0,,,,,,,,-1.0,
Tito Chinchan,El ilusionista,4,,,,,,,,,1.0,1.0
Tito Chinchan,Vente a ligar al Oeste,3,0.0,,,,,,0.0,,,
Juan Nadie,El ilusionista,4,,,,,,,,,1.0,1.0
Daniel Galindo,Dead or alive,2,-1.0,-1.0,,,,,,,,
Elena Suárez,Beyond the sea,5,,,,,,0.0,,,,
Emilio Calvo de Mora,El apartamento,5,,,,1.0,,,,,1.0,
Emilio Calvo de Mora,Blade runner,5,,,,-1.0,,,-1.0,,-1.0,
Lara Croft,Infiltrados,2,,,,,,,,-1.0,,
Silvia Giner,Los fantasmas de Goya,1,-1.0,,,,-1.0,,,,-1.0,
Matías Cobo,The Queen,4,-1.0,,,,,,,,-1.0,
Ivan Sainz-Pardo,Borat,3,,,,,-1.0,,,,,
Silvia Giner,El ilusionista,2,,,,,,,,,1.0,1.0
Emilio Calvo de Mora,Saw 3,3,,,-1.0,,,,,-1.0,-1.0,
Robgordon,El ilusionista,4,,,,,,,,,1.0,1.0
Caruco,Lola Montes,5,,,,,0.0,,,,,
Emilio Calvo de Mora,Borat,3,,,,,-1.0,,,,,
Kiko de España,El truco final (The Prestige),4,,,,,,-1.0,,,,
Rafa Ferrer,El truco final (The Prestige),3,,,,,,-1.0,,,,
Silvia,Hijos de los hombres,3,,,-1.0,,,,,,-1.0,
Rafa Ferrer,Colegas en el bosque,2,1.0,,,,,1.0,1.0,,,
Yul B.,Un buen año,2,-1.0,,,,,,,,,
Oscar Cantero,Casino Royale,4,,,,1.0,,,,,,
Daniel Galindo,Hijos de los hombres,4,,,-1.0,,,,,,-1.0,
Caruco,Borat,2,,,,,-1.0,,,,,
Mario,Saw 3,3,,,-1.0,,,,,-1.0,-1.0,
Rafa Ferrer,El ilusionista,3,,,,,,,,,1.0,1.0
Dragon negro,El ilusionista,3,,,,,,,,,1.0,1.0
Torbe,Una verdad incómoda,4,,,,,,,-1.0,,,
Tito Chinchan,El castillo en el cielo,4,,,,,0.0,,,,,
José A. Peig,El perfume,4,,,1.0,,,,,,-1.0,
"Tito Chinchan,""Nicky, la aprendiz de bruja"",3,,,,,0.0,,,,,"
Tito Chinchan,Mi vecino Totoro,3,,1.0,,,,,,,,
Tito Chinchan,Porco rosso,3,1.0,,0.0,,,,,,,
Rafa Ferrer,Separados,3,,,,-1.0,,,-1.0,,,
Rafa Ferrer,A todo gas 3: Tokyo race,1,,,,-1.0,-1.0,,,,,
Jose Contreras,El perfume,4,,,1.0,,,,,,-1.0,
Rafa Ferrer,Dead or alive,2,-1.0,-1.0,,,,,,,,
Mala Besta,El perfume,2,,,1.0,,,,,,-1.0,
Elena Suárez,Casino Royale,4,,,,1.0,,,,,,
Kiko de España,El ilusionista,1,,,,,,,,,1.0,1.0
Caruco,Casino Royale,4,,,,1.0,,,,,,
Alberto Concepción,Casino Royale,3,,,,1.0,,,,,,
Rafa Ferrer,The Queen,3,-1.0,,,,,,,,-1.0,
Rafa Ferrer,El perfume,4,,,1.0,,,,,,-1.0,
Pablo López,El camino de los ingleses,3,-1.0,,,,,,,-1.0,-1.0,
Tito Chinchan,El perfume,4,,,1.0,,,,,,-1.0,
Matías Cobo,Casino Royale,3,,,,1.0,,,,,,
Ana,Borat,3,,,,,-1.0,,,,,
Tito Chinchan,La Batalla Tanuki de la Era Heisei Pom Poko,3,,,,,,,,-1.0,,
Emilio Calvo de Mora,La lista de Schindler,5,,,,,,0.0,,,-1.0,
Tito Chinchan,Casino Royale,2,,,,1.0,,,,,,
Pablo López,El laberinto del fauno,3,,,,,,,-1.0,,,
Pablo López,Pret a porter,1,,,-1.0,,,,,,,
Pablo López,Piratas del Caribe 2,3,-1.0,,,,,,,,-1.0,
Pablo López,Superman returns,1,-1.0,,,,,,,,,
Pablo López,Transamerica,3,,,-1.0,,,,,,0.0,
Pablo López,Munich,5,,,,,,,,,-1.0,
Pablo López,Brokeback mountain,2,,,,,,,,,-1.0,
Pablo López,King Kong,4,1.0,,,,,,,,-1.0,
Txapulin,Casino Royale,4,,,,1.0,,,,,,
Txapulin,El perfume,4,,,1.0,,,,,,-1.0,
Dario Lavia,Blood creature,3,,,,,,,,,0.0,
Pablo López,Sin city,5,,1.0,1.0,,,,1.0,,,
Pablo López,Batman begins,4,,,,1.0,,0.0,1.0,,,
